"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"Jordan",8,0,13,33187,53,7,0,0,0
"Simon",7,0,14,33185,53,8,0,0,0
"Lester",13,0,8,35809,54,1,1,0,0
"Paul",12,0,9,36822,54,2,1,0,0
"Mark",12,0,9,35908,54,3,1,1,0
"Luke",11,0,10,35646,54,4,1,1,1
"James",11,0,10,34999,54,5,0,0,0
"Jordan",11,0,10,34349,54,6,0,0,0
"Anthony",9,0,12,34870,54,7,0,0,0
"Simon",5,0,16,33626,54,8,0,0,0
"Lester",14,0,7,36233,55,1,1,1,0
"Luke",13,0,8,34927,55,2,1,0,0
"Paul",12,0,9,36577,55,3,1,1,1
"Mark",12,0,9,35865,55,4,1,0,0
"Anthony",11,0,10,35218,55,5,0,0,0
"James",9,0,12,34806,55,6,0,0,0
"Jordan",8,0,13,34174,55,7,0,0,0
"Simon",5,0,16,33202,55,8,0,0,0
"Lester",15,0,6,35601,56,1,1,0,0
"Mark",13,0,8,35774,56,2,1,1,1
"Luke",13,0,8,34984,56,3,1,0,0
"Paul",12,0,9,36410,56,4,1,1,0
"Anthony",11,0,10,34725,56,5,0,0,0
"Jordan",8,0,13,33282,56,6,0,0,0
"James",7,0,14,34357,56,7,0,0,0
"Simon",5,0,16,33877,56,8,0,0,0
"Lester",14,0,7,36071,57,1,1,1,0
"Mark",13,0,8,35418,57,2,1,0,0
"Paul",12,0,9,36206,57,3,1,1,1
"Anthony",12,0,9,35469,57,4,1,0,0
"Luke",11,0,10,34762,57,5,0,0,0
"James",8,0,13,34275,57,6,0,0,0
"Simon",8,0,13,33569,57,7,0,0,0
"Jordan",6,0,15,33493,57,8,0,0,0
"Lester",17,0,4,36249,58,1,1,0,0
"James",13,0,8,34830,58,2,1,0,0
"Paul",11,0,10,36108,58,3,1,1,0
"Mark",11,0,10,35851,58,4,1,1,1
"Anthony",11,0,10,35296,58,5,0,0,0
"Luke",11,0,10,35019,58,6,0,0,0
"Jordan",7,0,14,33949,58,7,0,0,0
"Simon",3,0,18,32327,58,8,0,0,0
"Mark",15,0,6,35455,59,1,1,1,0
"Lester",13,0,8,35540,59,2,1,1,1
"Paul",12,0,9,35976,59,3,1,0,0
"Luke",11,0,10,35234,59,4,1,0,0
"Anthony",10,0,11,35348,59,5,0,0,0
"James",9,0,12,34883,59,6,0,0,0
"Jordan",8,0,13,34287,59,7,0,0,0
"Simon",6,0,15,32816,59,8,0,0,0
"Lester",14,0,7,36005,60,1,1,0,0
"Luke",14,0,7,35001,60,2,1,0,0
"Paul",13,0,8,36450,60,3,1,1,1
"Mark",12,0,9,35710,60,4,1,1,0
"Anthony",12,0,9,34523,60,5,0,0,0
"Jordan",9,0,12,33692,60,6,0,0,0
"James",7,0,14,34241,60,7,0,0,0
"Simon",3,0,18,32459,60,8,0,0,0
"Lester",14,0,7,36276,61,1,1,0,0
"Paul",11,0,10,36531,61,2,1,1,1
"Mark",11,0,10,36070,61,3,1,0,0
"Anthony",11,0,10,35809,61,4,1,1,0
"Luke",11,0,10,35153,61,5,0,0,0
"Jordan",10,0,11,33515,61,6,0,0,0
"James",8,0,13,34364,61,7,0,0,0
"Simon",8,0,13,33475,61,8,0,0,0
