"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"Jordan",6,0,15,32908,26,8,0,0,0
"Luke",16,0,5,36155,27,1,1,1,0
"Lester",14,0,7,35988,27,2,1,1,1
"Anthony",14,0,7,34956,27,3,1,0,0
"James",9,1,11,33467,27,4,1,0,0
"Simon",8,0,13,34653,27,5,0,0,0
"Paul",8,0,13,34542,27,6,0,0,0
"Mark",8,0,13,32710,27,7,0,0,0
"Jordan",6,1,14,33525,27,8,0,0,0
"Luke",16,0,5,35683,28,1,1,1,0
"Anthony",16,0,5,34956,28,2,1,0,0
"Lester",12,0,9,35386,28,3,1,1,1
"Simon",9,0,12,35575,28,4,1,0,0
"Mark",9,0,12,33864,28,5,0,0,0
"James",8,0,13,33950,28,6,0,0,0
"Jordan",8,0,13,33388,28,7,0,0,0
"Paul",6,0,15,34595,28,8,0,0,0
"Anthony",14,0,7,35507,29,1,1,1,1
"Luke",13,0,8,35733,29,2,1,1,0
"Lester",13,0,8,34926,29,3,1,0,0
"Mark",10,0,11,33910,29,4,1,0,0
"Paul",9,0,12,35547,29,5,0,0,0
"Jordan",9,0,12,34220,29,6,0,0,0
"Simon",8,0,13,35416,29,7,0,0,0
"James",8,0,13,34418,29,8,0,0,0
"Luke",16,0,5,36047,30,1,1,1,0
"Anthony",13,0,8,34272,30,2,1,1,1
"Mark",11,0,10,34615,30,3,1,0,0
"Lester",10,0,11,34478,30,4,1,0,0
"Paul",9,0,12,35395,30,5,0,0,0
"Simon",9,0,12,34636,30,6,0,0,0
"James",9,0,12,33967,30,7,0,0,0
"Jordan",7,0,14,34105,30,8,0,0,0
"Luke",16,1,4,36357,31,1,1,1,1
"Anthony",14,0,7,34651,31,2,1,1,0
"Lester",12,1,8,35378,31,3,1,0,0
"Paul",9,0,12,34761,31,4,1,0,0
"Mark",9,0,12,34509,31,5,0,0,0
"James",9,0,12,34116,31,6,0,0,0
"Simon",7,0,14,34522,31,7,0,0,0
"Jordan",7,0,14,33809,31,8,0,0,0
"Luke",14,1,6,36364,32,1,1,0,0
"Anthony",14,1,6,35483,32,2,1,1,1
"Lester",11,0,10,34757,32,3,1,0,0
"Paul",10,0,11,35475,32,4,1,1,0
"James",10,0,11,34789,32,5,0,0,0
"Mark",10,0,11,33968,32,6,0,0,0
"Simon",7,0,14,34563,32,7,0,0,0
"Jordan",7,0,14,32689,32,8,0,0,0
"Luke",17,0,4,36640,33,1,1,1,1
"Anthony",15,0,6,35024,33,2,1,1,0
"Lester",11,0,10,35298,33,3,1,0,0
"James",10,0,11,34432,33,4,1,0,0
"Simon",9,0,12,35386,33,5,0,0,0
"Paul",8,0,13,35197,33,6,0,0,0
"Jordan",8,0,13,34515,33,7,0,0,0
"Mark",6,0,15,33829,33,8,0,0,0
"Anthony",16,0,5,34962,34,1,1,0,0
"Luke",14,0,7,35122,34,2,1,1,1
"James",11,0,10,34261,34,3,1,0,0
"Lester",10,0,11,34439,34,4,1,1,0
"Mark",10,0,11,33812,34,5,0,0,0
"Simon",9,0,12,35112,34,6,0,0,0
"Jordan",8,0,13,33348,34,7,0,0,0
"Paul",6,0,15,35009,34,8,0,0,0
"Anthony",15,0,6,35499,35,1,1,1,0
"Luke",14,0,7,35655,35,2,1,1,1
"Mark",11,0,10,34878,35,3,1,0,0
"Simon",10,0,11,35134,35,4,1,0,0
"Lester",10,0,11,34816,35,5,0,0,0
"Paul",8,0,13,34373,35,6,0,0,0
"Jordan",8,0,13,34000,35,7,0,0,0
"James",8,0,13,33839,35,8,0,0,0
"Luke",17,0,4,35770,36,1,1,1,0
"Anthony",14,0,7,34473,36,2,1,1,1
"Mark",11,0,10,34269,36,3,1,0,0
"Simon",9,0,12,34961,36,4,1,0,0
"Lester",9,0,12,34355,36,5,0,0,0
"Jordan",9,0,12,34251,36,6,0,0,0
"James",8,0,13,34328,36,7,0,0,0
"Paul",7,0,14,34725,36,8,0,0,0
"Anthony",15,0,6,34500,37,1,1,0,0
"Luke",13,0,8,36333,37,2,1,1,0
"Lester",12,0,9,34884,37,3,1,0,0
"James",11,0,10,34526,37,4,1,1,1
"Simon",9,0,12,35642,37,5,0,0,0
"Jordan",9,0,12,33160,37,6,0,0,0
"Mark",8,0,13,33891,37,7,0,0,0
"Paul",7,0,14,34736,37,8,0,0,0
"Luke",15,0,6,35398,38,1,1,0,0
"Anthony",15,0,6,34677,38,2,1,0,0
"Lester",11,0,10,34634,38,3,1,1,1
"Jordan",10,0,11,34081,38,4,1,1,0
"Simon",9,0,12,35455,38,5,0,0,0
"Mark",9,0,12,34161,38,6,0,0,0
"James",8,0,13,33770,38,7,0,0,0
"Paul",7,0,14,34634,38,8,0,0,0
"Luke",15,0,6,35991,39,1,1,0,0
"Anthony",15,0,6,34788,39,2,1,1,1
"Lester",10,0,11,34668,39,3,1,0,0
"Jordan",10,0,11,33649,39,4,1,1,0
"Simon",9,0,12,34899,39,5,0,0,0
"James",9,0,12,34313,39,6,0,0,0
"Paul",8,0,13,34908,39,7,0,0,0
