"simulation","pos","team","coach","cumul_win","points","pcnt"
10,5,"Pink Lloyd","Jordan",10,40,98.52
10,6,"The Big Short","Luke",9,36,102.81
10,7,"Surviving J.Kelly","Mark",7,28,95.77
10,8,"The West Wingard","Simon",7,28,93.69
11,1,"La MacRaena","Anthony",14,56,105.15
11,2,"At Witts End","Paul",14,56,102.89
11,3,"MakingTheirMarcus","James",12,48,102.95
11,4,"Pink Lloyd","Jordan",11,44,99.24
11,5,"Ariana Grundy","Lester",10,40,99.2
11,6,"The Big Short","Luke",9,36,102.29
11,7,"The West Wingard","Simon",8,32,94.16
11,8,"Surviving J.Kelly","Mark",6,24,94.54
12,1,"La MacRaena","Anthony",15,60,106.49
12,2,"At Witts End","Paul",13,52,102.26
12,3,"MakingTheirMarcus","James",12,48,102.72
12,4,"Ariana Grundy","Lester",12,48,100.17
12,5,"The Big Short","Luke",9,36,102.43
12,6,"Pink Lloyd","Jordan",8,32,97.88
12,7,"Surviving J.Kelly","Mark",8,32,95.95
12,8,"The West Wingard","Simon",7,28,92.56
13,1,"La MacRaena","Anthony",15,62,106.4
13,2,"At Witts End","Paul",13,52,102.06
13,3,"MakingTheirMarcus","James",11,44,102.51
13,4,"Ariana Grundy","Lester",11,44,99.38
13,5,"The Big Short","Luke",9,38,103.11
13,6,"Pink Lloyd","Jordan",9,36,98.81
13,7,"The West Wingard","Simon",8,32,92.88
13,8,"Surviving J.Kelly","Mark",7,28,95.34
14,1,"La MacRaena","Anthony",15,60,106.02
14,2,"At Witts End","Paul",14,56,102.99
14,3,"MakingTheirMarcus","James",12,48,101.94
14,4,"The Big Short","Luke",10,40,103.23
14,5,"Pink Lloyd","Jordan",10,40,99.91
14,6,"Ariana Grundy","Lester",10,40,99.51
14,7,"The West Wingard","Simon",7,28,93.27
14,8,"Surviving J.Kelly","Mark",6,24,93.76
15,1,"La MacRaena","Anthony",15,60,106.03
15,2,"MakingTheirMarcus","James",13,52,102.97
15,3,"At Witts End","Paul",12,48,100.91
15,4,"Ariana Grundy","Lester",11,44,101.1
15,5,"The Big Short","Luke",9,36,102.49
15,6,"Pink Lloyd","Jordan",9,36,98.6
15,7,"The West Wingard","Simon",8,32,93.74
15,8,"Surviving J.Kelly","Mark",7,28,94.61
16,1,"At Witts End","Paul",14,56,102.27
16,2,"La MacRaena","Anthony",13,52,104.64
16,3,"MakingTheirMarcus","James",13,52,102.95
16,4,"Pink Lloyd","Jordan",11,44,99.88
16,5,"The Big Short","Luke",10,40,103.38
16,6,"Ariana Grundy","Lester",9,36,98.12
16,7,"Surviving J.Kelly","Mark",8,32,96.02
16,8,"The West Wingard","Simon",6,24,93.16
17,1,"La MacRaena","Anthony",14,58,106.12
17,2,"At Witts End","Paul",13,54,101.99
17,3,"MakingTheirMarcus","James",11,46,101.98
17,4,"Pink Lloyd","Jordan",10,42,100.09
17,5,"Ariana Grundy","Lester",10,40,99.38
17,6,"The Big Short","Luke",9,36,102.7
17,7,"The West Wingard","Simon",8,32,93.8
17,8,"Surviving J.Kelly","Mark",7,28,94.46
18,1,"La MacRaena","Anthony",15,60,106.51
18,2,"At Witts End","Paul",14,56,102.11
18,3,"MakingTheirMarcus","James",12,48,102.78
18,4,"The Big Short","Luke",10,40,103.33
18,5,"Ariana Grundy","Lester",10,40,99.51
18,6,"Pink Lloyd","Jordan",8,32,97.69
18,7,"Surviving J.Kelly","Mark",8,32,95.49
18,8,"The West Wingard","Simon",7,28,93.1
19,1,"La MacRaena","Anthony",14,56,105.28
19,2,"MakingTheirMarcus","James",12,48,102.35
19,3,"Ariana Grundy","Lester",12,48,101.48
19,4,"At Witts End","Paul",12,48,100.85
19,5,"The Big Short","Luke",10,40,103.32
19,6,"Pink Lloyd","Jordan",8,32,97.55
19,7,"Surviving J.Kelly","Mark",8,32,95.07
19,8,"The West Wingard","Simon",8,32,94.48
20,1,"La MacRaena","Anthony",15,60,106.11
20,2,"At Witts End","Paul",12,48,102.1
20,3,"MakingTheirMarcus","James",12,48,101.9
20,4,"Pink Lloyd","Jordan",11,44,99.55
20,5,"Ariana Grundy","Lester",11,44,99.48
20,6,"The Big Short","Luke",9,36,103.32
20,7,"Surviving J.Kelly","Mark",7,28,95.28
20,8,"The West Wingard","Simon",7,28,92.76
21,1,"At Witts End","Paul",14,56,102.38
21,2,"La MacRaena","Anthony",13,52,104.77
21,3,"MakingTheirMarcus","James",12,48,102.07
21,4,"The Big Short","Luke",11,44,104.7
21,5,"Pink Lloyd","Jordan",11,44,99
21,6,"Ariana Grundy","Lester",9,36,98.85
21,7,"Surviving J.Kelly","Mark",7,28,95.36
21,8,"The West Wingard","Simon",7,28,93.3
22,1,"La MacRaena","Anthony",15,60,106.24
22,2,"At Witts End","Paul",14,56,102
22,3,"MakingTheirMarcus","James",11,44,101.69
22,4,"Pink Lloyd","Jordan",11,44,99.57
22,5,"Ariana Grundy","Lester",10,40,100.48
22,6,"The Big Short","Luke",9,36,103.2
22,7,"Surviving J.Kelly","Mark",7,28,95
22,8,"The West Wingard","Simon",7,28,92.36
23,1,"La MacRaena","Anthony",15,60,106.19
23,2,"At Witts End","Paul",13,52,102.37
23,3,"MakingTheirMarcus","James",12,48,102.24
23,4,"Ariana Grundy","Lester",10,40,99.89
23,5,"The Big Short","Luke",9,36,102.9
23,6,"Pink Lloyd","Jordan",9,36,97.79
23,7,"Surviving J.Kelly","Mark",8,32,95.44
23,8,"The West Wingard","Simon",8,32,93.6
24,1,"La MacRaena","Anthony",15,60,105.76
24,2,"At Witts End","Paul",13,52,101.82
24,3,"MakingTheirMarcus","James",11,44,102.51
24,4,"Ariana Grundy","Lester",11,44,100.21
24,5,"Pink Lloyd","Jordan",10,40,98.92
24,6,"The Big Short","Luke",9,36,103.05
24,7,"The West Wingard","Simon",8,32,93.94
24,8,"Surviving J.Kelly","Mark",7,28,94.22
25,1,"La MacRaena","Anthony",14,56,106.06
25,2,"At Witts End","Paul",14,56,102.21
25,3,"MakingTheirMarcus","James",13,52,103.49
25,4,"The Big Short","Luke",11,44,103.7
25,5,"Ariana Grundy","Lester",11,44,99.95
25,6,"Pink Lloyd","Jordan",9,36,98.28
25,7,"Surviving J.Kelly","Mark",6,24,93.87
25,8,"The West Wingard","Simon",6,24,93.02
26,1,"La MacRaena","Anthony",14,56,106.05
26,2,"At Witts End","Paul",13,54,102.12
26,3,"MakingTheirMarcus","James",12,48,101.9
26,4,"The Big Short","Luke",10,40,102.65
26,5,"Pink Lloyd","Jordan",10,40,98.86
26,6,"Ariana Grundy","Lester",9,38,99.21
26,7,"Surviving J.Kelly","Mark",8,32,95.74
26,8,"The West Wingard","Simon",7,28,93.86
27,1,"La MacRaena","Anthony",15,60,105.69
27,2,"At Witts End","Paul",13,52,101.67
27,3,"MakingTheirMarcus","James",12,48,102.84
27,4,"Ariana Grundy","Lester",11,44,99.79
27,5,"The Big Short","Luke",9,36,103.17
27,6,"Surviving J.Kelly","Mark",9,36,96.03
27,7,"Pink Lloyd","Jordan",8,32,98.19
27,8,"The West Wingard","Simon",7,28,93.03
28,1,"La MacRaena","Anthony",14,56,105.4
28,2,"MakingTheirMarcus","James",13,52,103.45
28,3,"At Witts End","Paul",13,52,101.58
28,4,"Pink Lloyd","Jordan",11,44,99.4
28,5,"The Big Short","Luke",10,40,103.34
28,6,"Ariana Grundy","Lester",9,36,98.93
28,7,"Surviving J.Kelly","Mark",7,28,95.62
28,8,"The West Wingard","Simon",7,28,92.75
29,1,"La MacRaena","Anthony",15,60,106.43
29,2,"At Witts End","Paul",13,52,101.89
29,3,"MakingTheirMarcus","James",11,44,101.81
29,4,"Ariana Grundy","Lester",11,44,100.21
29,5,"The Big Short","Luke",9,36,102.97
29,6,"Pink Lloyd","Jordan",9,36,98.23
29,7,"The West Wingard","Simon",9,36,94.11
29,8,"Surviving J.Kelly","Mark",7,28,94.76
30,1,"La MacRaena","Anthony",15,60,106.5
30,2,"At Witts End","Paul",13,52,102.59
30,3,"Ariana Grundy","Lester",12,48,100.79
30,4,"The Big Short","Luke",11,44,103.45
30,5,"MakingTheirMarcus","James",11,44,101.18
30,6,"Pink Lloyd","Jordan",9,36,98.33
30,7,"The West Wingard","Simon",7,28,92.85
30,8,"Surviving J.Kelly","Mark",6,24,94.78
31,1,"La MacRaena","Anthony",14,56,105.62
31,2,"At Witts End","Paul",14,56,101.97
31,3,"MakingTheirMarcus","James",11,44,102.17
31,4,"Ariana Grundy","Lester",10,40,99.71
31,5,"The Big Short","Luke",9,36,102.37
31,6,"Surviving J.Kelly","Mark",9,36,96.41
31,7,"The West Wingard","Simon",9,36,94.45
31,8,"Pink Lloyd","Jordan",8,32,97.59
32,1,"La MacRaena","Anthony",15,60,105.21
32,2,"At Witts End","Paul",13,52,101.96
32,3,"Ariana Grundy","Lester",12,48,100.55
32,4,"MakingTheirMarcus","James",10,40,101.49
32,5,"Pink Lloyd","Jordan",10,40,99.01
32,6,"The West Wingard","Simon",9,36,94.2
32,7,"The Big Short","Luke",8,32,102.01
32,8,"Surviving J.Kelly","Mark",7,28,95.86
33,1,"La MacRaena","Anthony",13,54,104.98
33,2,"At Witts End","Paul",13,52,102.33
33,3,"MakingTheirMarcus","James",12,48,102.72
33,4,"Pink Lloyd","Jordan",10,40,99.22
33,5,"Ariana Grundy","Lester",10,40,98.76
33,6,"The Big Short","Luke",9,38,102.98
33,7,"Surviving J.Kelly","Mark",8,32,95.78
33,8,"The West Wingard","Simon",8,32,93.62
34,1,"La MacRaena","Anthony",14,56,105.4
34,2,"At Witts End","Paul",14,56,102.3
34,3,"MakingTheirMarcus","James",11,44,102.14
34,4,"The Big Short","Luke",10,40,103.67
34,5,"Ariana Grundy","Lester",10,40,99.68
34,6,"Pink Lloyd","Jordan",9,36,98.22
34,7,"Surviving J.Kelly","Mark",9,36,96.02
34,8,"The West Wingard","Simon",7,28,92.98
35,1,"La MacRaena","Anthony",14,56,105.2
35,2,"MakingTheirMarcus","James",12,48,102.29
35,3,"At Witts End","Paul",12,48,101.51
35,4,"Pink Lloyd","Jordan",11,44,99.47
35,5,"Ariana Grundy","Lester",10,40,99.51
35,6,"The Big Short","Luke",9,36,102.62
35,7,"The West Wingard","Simon",9,36,94.13
35,8,"Surviving J.Kelly","Mark",7,28,95.63
36,1,"La MacRaena","Anthony",14,56,104.53
36,2,"At Witts End","Paul",13,52,101.7
36,3,"MakingTheirMarcus","James",12,48,102.76
36,4,"The Big Short","Luke",10,40,103.89
36,5,"Ariana Grundy","Lester",10,40,100.09
36,6,"Pink Lloyd","Jordan",10,40,98.56
36,7,"The West Wingard","Simon",8,32,93.83
36,8,"Surviving J.Kelly","Mark",7,28,95.03
37,1,"La MacRaena","Anthony",15,60,105.7
37,2,"At Witts End","Paul",13,52,102.34
37,3,"MakingTheirMarcus","James",11,44,102.18
37,4,"Ariana Grundy","Lester",11,44,100.26
37,5,"Pink Lloyd","Jordan",11,44,98.7
37,6,"The Big Short","Luke",8,32,102.77
37,7,"The West Wingard","Simon",8,32,93.35
37,8,"Surviving J.Kelly","Mark",7,28,95.08
38,1,"La MacRaena","Anthony",15,60,106.06
38,2,"At Witts End","Paul",13,52,101.33
38,3,"MakingTheirMarcus","James",11,44,102.05
38,4,"Pink Lloyd","Jordan",10,40,97.85
38,5,"The Big Short","Luke",9,36,102.65
38,6,"Surviving J.Kelly","Mark",9,36,98.24
38,7,"Ariana Grundy","Lester",9,36,98.04
38,8,"The West Wingard","Simon",8,32,94.06
39,1,"La MacRaena","Anthony",14,56,105.55
39,2,"MakingTheirMarcus","James",12,48,103
39,3,"At Witts End","Paul",12,48,100.81
39,4,"Ariana Grundy","Lester",11,44,100.62
39,5,"Pink Lloyd","Jordan",10,40,98.73
39,6,"The West Wingard","Simon",9,36,94.54
39,7,"The Big Short","Luke",8,32,101.13
39,8,"Surviving J.Kelly","Mark",8,32,95.94
40,1,"La MacRaena","Anthony",15,60,105.34
40,2,"At Witts End","Paul",14,56,103.08
40,3,"MakingTheirMarcus","James",11,44,101.59
40,4,"Ariana Grundy","Lester",10,40,100.07
40,5,"The Big Short","Luke",9,36,103.29
40,6,"Surviving J.Kelly","Mark",9,36,95.76
40,7,"Pink Lloyd","Jordan",8,32,97.32
40,8,"The West Wingard","Simon",8,32,93.89
41,1,"La MacRaena","Anthony",14,56,105.64
41,2,"MakingTheirMarcus","James",12,48,102.19
41,3,"At Witts End","Paul",12,48,101.42
41,4,"Ariana Grundy","Lester",11,44,99.93
41,5,"Pink Lloyd","Jordan",10,40,98.62
41,6,"The Big Short","Luke",9,36,102.92
41,7,"Surviving J.Kelly","Mark",8,32,96.03
41,8,"The West Wingard","Simon",8,32,93.57
42,1,"La MacRaena","Anthony",15,60,105.61
42,2,"At Witts End","Paul",13,52,102.28
42,3,"MakingTheirMarcus","James",12,48,102.13
42,4,"Ariana Grundy","Lester",10,40,99.75
42,5,"The Big Short","Luke",9,36,102.72
42,6,"Pink Lloyd","Jordan",9,36,98.34
42,7,"The West Wingard","Simon",9,36,94.24
42,8,"Surviving J.Kelly","Mark",7,28,95.29
43,1,"La MacRaena","Anthony",15,60,106.51
43,2,"MakingTheirMarcus","James",12,48,102.02
43,3,"At Witts End","Paul",12,48,101.73
43,4,"Ariana Grundy","Lester",12,48,100.27
43,5,"The Big Short","Luke",10,40,103.34
43,6,"Pink Lloyd","Jordan",9,36,98.3
43,7,"The West Wingard","Simon",8,32,94.17
43,8,"Surviving J.Kelly","Mark",6,24,94.23
44,1,"La MacRaena","Anthony",16,64,106.95
44,2,"At Witts End","Paul",13,52,102.53
44,3,"MakingTheirMarcus","James",11,44,101.3
44,4,"Ariana Grundy","Lester",11,44,99.96
44,5,"Pink Lloyd","Jordan",9,36,97.85
44,6,"The Big Short","Luke",8,32,101.14
44,7,"Surviving J.Kelly","Mark",8,32,96.85
44,8,"The West Wingard","Simon",8,32,93.72
45,1,"La MacRaena","Anthony",15,60,106.49
45,2,"At Witts End","Paul",13,52,102.26
45,3,"MakingTheirMarcus","James",12,48,102.15
45,4,"The Big Short","Luke",10,40,102.97
45,5,"Ariana Grundy","Lester",10,40,99.38
45,6,"Pink Lloyd","Jordan",9,36,97.89
45,7,"The West Wingard","Simon",8,32,93.81
45,8,"Surviving J.Kelly","Mark",7,28,95.53
46,1,"La MacRaena","Anthony",16,64,106.17
46,2,"At Witts End","Paul",13,52,102.33
46,3,"Ariana Grundy","Lester",12,48,100.32
46,4,"The Big Short","Luke",10,40,103.88
46,5,"MakingTheirMarcus","James",10,40,101.39
46,6,"Pink Lloyd","Jordan",8,32,97.87
46,7,"The West Wingard","Simon",8,32,93.01
46,8,"Surviving J.Kelly","Mark",7,28,95.52
47,1,"La MacRaena","Anthony",15,60,105.38
47,2,"At Witts End","Paul",14,56,102.91
47,3,"MakingTheirMarcus","James",11,44,102.33
47,4,"The Big Short","Luke",10,40,103.63
47,5,"Pink Lloyd","Jordan",10,40,99.81
47,6,"Ariana Grundy","Lester",10,40,99.35
47,7,"Surviving J.Kelly","Mark",7,28,95.29
47,8,"The West Wingard","Simon",7,28,91.86
48,1,"La MacRaena","Anthony",15,60,106.08
48,2,"At Witts End","Paul",15,60,103.96
48,3,"MakingTheirMarcus","James",12,48,101.65
48,4,"Ariana Grundy","Lester",10,40,99.83
48,5,"The Big Short","Luke",9,38,103.22
48,6,"Pink Lloyd","Jordan",9,36,98.39
48,7,"Surviving J.Kelly","Mark",7,30,95.22
48,8,"The West Wingard","Simon",6,24,92.19
49,1,"La MacRaena","Anthony",14,56,105.3
49,2,"At Witts End","Paul",14,56,102.84
49,3,"The Big Short","Luke",11,44,103.68
49,4,"MakingTheirMarcus","James",10,40,100.8
49,5,"Ariana Grundy","Lester",10,40,99.41
49,6,"Pink Lloyd","Jordan",9,36,97.73
49,7,"Surviving J.Kelly","Mark",8,32,96.12
49,8,"The West Wingard","Simon",8,32,94.44
50,1,"La MacRaena","Anthony",15,60,105.8
50,2,"At Witts End","Paul",14,56,102.11
50,3,"MakingTheirMarcus","James",13,52,103.03
50,4,"Ariana Grundy","Lester",11,44,101.12
50,5,"Pink Lloyd","Jordan",9,36,97.83
50,6,"The Big Short","Luke",8,34,102.51
50,7,"Surviving J.Kelly","Mark",7,28,94.86
50,8,"The West Wingard","Simon",6,26,93.21
51,1,"At Witts End","Paul",15,60,103.57
51,2,"La MacRaena","Anthony",13,52,104.48
51,3,"MakingTheirMarcus","James",12,48,102.22
51,4,"The Big Short","Luke",11,44,103.58
51,5,"Pink Lloyd","Jordan",11,44,99.5
51,6,"Ariana Grundy","Lester",10,40,99.3
51,7,"Surviving J.Kelly","Mark",6,24,94.89
51,8,"The West Wingard","Simon",6,24,92.92
52,1,"La MacRaena","Anthony",16,64,106.61
52,2,"At Witts End","Paul",13,52,101.86
52,3,"MakingTheirMarcus","James",12,48,102.2
52,4,"Ariana Grundy","Lester",10,40,99.61
52,5,"Surviving J.Kelly","Mark",9,36,96.28
52,6,"The Big Short","Luke",8,32,101.76
52,7,"Pink Lloyd","Jordan",8,32,98.1
52,8,"The West Wingard","Simon",8,32,93.98
53,1,"La MacRaena","Anthony",14,56,104.87
53,2,"MakingTheirMarcus","James",12,48,103.12
53,3,"At Witts End","Paul",12,48,101.14
53,4,"Ariana Grundy","Lester",11,44,100.91
53,5,"Pink Lloyd","Jordan",10,40,97.83
53,6,"The Big Short","Luke",9,36,103.04
53,7,"Surviving J.Kelly","Mark",8,32,95.69
53,8,"The West Wingard","Simon",8,32,93.78
54,1,"La MacRaena","Anthony",15,60,105.73
54,2,"At Witts End","Paul",14,56,102.88
54,3,"The Big Short","Luke",11,44,103.74
54,4,"MakingTheirMarcus","James",11,44,101.76
54,5,"Ariana Grundy","Lester",10,40,99.71
54,6,"Pink Lloyd","Jordan",9,36,97.62
54,7,"Surviving J.Kelly","Mark",8,32,96.41
54,8,"The West Wingard","Simon",6,24,92.51
55,1,"La MacRaena","Anthony",14,56,104.96
55,2,"At Witts End","Paul",12,48,101.37
55,3,"Ariana Grundy","Lester",12,48,100.33
55,4,"MakingTheirMarcus","James",11,44,102.31
55,5,"The Big Short","Luke",9,36,102.63
55,6,"Pink Lloyd","Jordan",9,36,98.86
55,7,"The West Wingard","Simon",9,36,94.06
55,8,"Surviving J.Kelly","Mark",8,32,95.8
56,1,"At Witts End","Paul",14,56,102.14
56,2,"La MacRaena","Anthony",13,52,104.03
56,3,"MakingTheirMarcus","James",12,48,103.78
56,4,"Ariana Grundy","Lester",11,44,100.06
56,5,"Pink Lloyd","Jordan",11,44,99.69
56,6,"The Big Short","Luke",10,40,103.12
56,7,"The West Wingard","Simon",7,28,92.45
56,8,"Surviving J.Kelly","Mark",6,24,95.15
57,1,"La MacRaena","Anthony",14,56,105.52
57,2,"At Witts End","Paul",13,52,102.16
57,3,"MakingTheirMarcus","James",11,44,101.96
57,4,"Ariana Grundy","Lester",11,44,100.36
57,5,"The Big Short","Luke",9,36,102.26
57,6,"Pink Lloyd","Jordan",9,36,97.7
57,7,"Surviving J.Kelly","Mark",9,36,96.29
57,8,"The West Wingard","Simon",8,32,94.07
58,1,"La MacRaena","Anthony",16,64,107.04
58,2,"At Witts End","Paul",13,52,102.23
58,3,"Ariana Grundy","Lester",12,48,100.14
58,4,"MakingTheirMarcus","James",10,40,100.8
58,5,"The Big Short","Luke",9,36,102.42
58,6,"Pink Lloyd","Jordan",9,36,97.73
58,7,"The West Wingard","Simon",8,32,94.25
58,8,"Surviving J.Kelly","Mark",7,28,95.82
59,1,"La MacRaena","Anthony",16,64,107.18
59,2,"At Witts End","Paul",13,52,101.44
59,3,"MakingTheirMarcus","James",12,48,102.54
59,4,"The Big Short","Luke",10,40,102.71
59,5,"Ariana Grundy","Lester",10,40,99.46
59,6,"Pink Lloyd","Jordan",8,32,97.87
59,7,"Surviving J.Kelly","Mark",8,32,95.65
59,8,"The West Wingard","Simon",7,28,93.67
60,1,"La MacRaena","Anthony",15,60,106.22
60,2,"At Witts End","Paul",14,56,102.43
60,3,"MakingTheirMarcus","James",12,48,103.18
60,4,"Pink Lloyd","Jordan",10,40,98.06
60,5,"The Big Short","Luke",9,36,102.65
60,6,"Ariana Grundy","Lester",9,36,98.46
60,7,"The West Wingard","Simon",8,32,93.95
60,8,"Surviving J.Kelly","Mark",7,28,95.5
61,1,"La MacRaena","Anthony",14,56,106.26
61,2,"At Witts End","Paul",13,52,102.08
61,3,"MakingTheirMarcus","James",11,44,101.21
61,4,"Ariana Grundy","Lester",11,44,100.1
61,5,"Pink Lloyd","Jordan",10,40,98.99
61,6,"The Big Short","Luke",9,36,102.18
61,7,"Surviving J.Kelly","Mark",8,32,95.81
61,8,"The West Wingard","Simon",8,32,93.78
62,1,"La MacRaena","Anthony",16,64,106.91
62,2,"At Witts End","Paul",15,60,102.7
62,3,"MakingTheirMarcus","James",11,44,101.96
62,4,"Ariana Grundy","Lester",10,40,99.96
62,5,"The Big Short","Luke",9,36,102.76
62,6,"Surviving J.Kelly","Mark",9,36,95.75
62,7,"Pink Lloyd","Jordan",8,32,97.81
62,8,"The West Wingard","Simon",6,24,92.65
63,1,"La MacRaena","Anthony",14,56,105.04
63,2,"MakingTheirMarcus","James",13,52,103.53
63,3,"At Witts End","Paul",13,52,101.55
63,4,"Ariana Grundy","Lester",12,48,100.93
63,5,"Pink Lloyd","Jordan",9,36,97.83
63,6,"The Big Short","Luke",8,32,101.41
63,7,"Surviving J.Kelly","Mark",8,32,95.96
63,8,"The West Wingard","Simon",7,28,94.03
64,1,"La MacRaena","Anthony",15,60,105.45
64,2,"At Witts End","Paul",14,56,102.14
64,3,"MakingTheirMarcus","James",12,48,102.67
64,4,"Ariana Grundy","Lester",11,44,100.44
64,5,"The Big Short","Luke",10,40,103.52
64,6,"Pink Lloyd","Jordan",8,32,96.87
64,7,"Surviving J.Kelly","Mark",8,32,96.38
64,8,"The West Wingard","Simon",6,24,92.89
65,1,"La MacRaena","Anthony",15,60,105.68
65,2,"At Witts End","Paul",14,56,102.74
65,3,"MakingTheirMarcus","James",11,44,102.6
65,4,"Ariana Grundy","Lester",11,44,100.13
65,5,"The Big Short","Luke",10,40,103.39
65,6,"Pink Lloyd","Jordan",10,40,98.49
65,7,"The West Wingard","Simon",7,28,92.38
65,8,"Surviving J.Kelly","Mark",6,24,95.08
66,1,"La MacRaena","Anthony",15,60,106.24
66,2,"At Witts End","Paul",14,56,102.63
66,3,"MakingTheirMarcus","James",12,48,102.7
66,4,"Ariana Grundy","Lester",10,40,99.05
66,5,"The Big Short","Luke",9,36,102.23
66,6,"Pink Lloyd","Jordan",9,36,98.45
66,7,"Surviving J.Kelly","Mark",8,32,96.01
66,8,"The West Wingard","Simon",7,28,93.09
67,1,"La MacRaena","Anthony",14,58,105.4
67,2,"MakingTheirMarcus","James",13,52,103
67,3,"At Witts End","Paul",13,52,102.57
67,4,"Ariana Grundy","Lester",12,48,100.72
67,5,"Pink Lloyd","Jordan",8,34,97.74
67,6,"The Big Short","Luke",8,32,102.01
67,7,"Surviving J.Kelly","Mark",8,32,95.7
67,8,"The West Wingard","Simon",7,28,93.17
68,1,"La MacRaena","Anthony",16,64,106.19
68,2,"At Witts End","Paul",14,56,102.71
68,3,"MakingTheirMarcus","James",12,48,102.56
68,4,"Pink Lloyd","Jordan",10,40,99.15
68,5,"The Big Short","Luke",9,36,102.98
68,6,"Ariana Grundy","Lester",9,36,98.68
68,7,"Surviving J.Kelly","Mark",7,28,94.89
68,8,"The West Wingard","Simon",7,28,93.33
69,1,"La MacRaena","Anthony",15,60,106.61
69,2,"MakingTheirMarcus","James",13,52,102.44
69,3,"At Witts End","Paul",13,52,101.91
69,4,"Ariana Grundy","Lester",10,40,99.71
69,5,"Pink Lloyd","Jordan",9,36,97.86
69,6,"Surviving J.Kelly","Mark",9,36,96.09
69,7,"The Big Short","Luke",8,32,102.07
69,8,"The West Wingard","Simon",7,28,93.69
